libomxil-bellagio 0.9.3-2
libpcap 1.9.0-1
libpciaccess 0.16-1
libpgm 5.2.122-3
libpipeline 1.5.1-1
libplacebo 1.18.0-1
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.37-1
libproxy 0.4.15-10
libpsl 0.21.0-1
libpulse 12.2-2
libraqm 0.7.0-1
libraw 0.19.5-1
libraw1394 2.1.2-2
librevenge 0.0.4-2
librsvg 2:2.44.15-1
libsamplerate 0.1.9-2
libsasl 2.1.27-1
libsass 3.5.5-2
libseccomp 2.4.1-2
libsecret 0.18.8-2
libshout 1:2.4.3-1
libsigc++ 2.10.2-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.18-1
libsoup 2.66.2+4+g716acf96-1
libsoxr 0.1.3-1
libspiro 1:20190731-1
libssh 0.9.0-1
libssh2 1.8.2-1
libsynctex 2019.51075-3
libtasn1 4.14-1
libteam 1.29-1
libtermkey 0.22-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-5
libunistring 0.9.10-1
libunwind 1.3.1-1
libupnp 1.6.25-1
libusb 1.0.22-1
libusbmuxd 1.0.10+29+g9db5747-1
libutil-linux 2.34-3
libuv 1.31.0-1
libva 2.5.0-1
libva-intel-driver 2.3.0-2
libva-utils 2.5.0-1
libvdpau 1.3-1
libvisual 0.4.0-7
libvoikko 4.2-1
libvorbis 1.3.6-1
libvpx 1.8.1-1
libvterm 0.1.git4.b45b648-1
libwacom 1.0-1
libwbclient 4.10.6-1
libwebp 1.0.3-1
libwmf 0.2.12-1
libwnck3 3.32.0-2
libwpd 0.10.3-1
libx11 1.6.8-1
libxau 1.0.9-1
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfce4ui 4.14.1-2
libxfce4util 4.14.0-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.3-1
libxi 1.7.10-1
libxinerama 1.1.4-1
libxkbcommon 0.8.4-1
libxkbcommon-x11 0.8.4-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml++2.6 2.40.1-3
libxml2 2.9.9-2
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.11-1
libxxf86vm 1.1.4-2
libyaml 0.2.2-1
licenses 20181104-1
linux 5.2.11.arch1-1
linux-api-headers 5.1-1
linux-firmware 20190815.07b925b-1
llvm-libs 8.0.1-3
lm_sensors 3.5.0-1
lmdb 0.9.24-1
logrotate 3.15.0-1
lshw B.02.18-3
lua 5.3.5-2
lua-lgi 0.9.2-1
lua52 5.2.4-4
luajit 2.0.5-2
lvm2 2.02.186-1
lz4 1:1.9.1-1
lzo 2.10-2
m4 1.4.18-2
maim 5.5.3-1
make 4.2.1-3
man-db 2.8.7-1
man-pages 5.02-1
mcomix 1.2.1-5
mdadm 4.1-1
mesa 19.1.6-1
metis 5.1.0.p6-1
minizip 1:1.2.11-3
mkinitcpio 25-2
mkinitcpio-busybox 1.30.1-1
mobile-broadband-provider-info 20190116-1
mpc 0.32-1
mpd 0.21.14-1
mpfr 4.0.2-1
mpg123 1.25.11-1
mpv 1:0.29.1-8
msgpack-c 3.2.0-1
mtdev 1.1.5-2
mypaint-brushes1 1.3.0-1
nano 4.4-1
ncdu 1.14.1-1
ncmpcpp 0.8.2-8
ncurses 6.1-6
ndctl 66-1
neofetch 6.0.0-1
neovim 0.3.8-1
nerd-fonts-git r810.eccb3151-1
netctl 1.20-1
nettle 3.5.1-1
network-manager-applet 1.8.22-1
networkmanager 1.20.0-1
nitrogen 1.6.1-2
nm-connection-editor 1.8.22-1
npth 1.6-1
nspr 4.22-1
nss 3.46-1
ntfs-3g 2017.3.23-3
nvidia-390xx 390.129-1
nvidia-390xx-utils 390.129-1
ocl-icd 2.2.12-3
oniguruma 6.9.3-1
oomox 1.12.3-5
openal 1.19.1-2
